Fecha,Ciclo Combinado
2021-01-01,16857.3064
2021-01-01,16354.8846
2021-01-01,16165.2577
2021-01-01,16080.51
2021-01-01,15823.6851
2021-01-01,15550.2513
2021-01-01,14954.2431
2021-01-01,14320.4954
2021-01-01,13168.8203
2021-01-01,12542.969
2021-01-01,12414.4143
2021-01-01,12187.7391
2021-01-01,12205.8262
2021-01-01,12346.0285
2021-01-01,12360.908
2021-01-01,12669.0235
2021-01-01,13526.8317
2021-01-01,15421.449
2021-01-01,16735.3995
2021-01-01,17371.4995
2021-01-01,17367.3057
2021-01-01,17756.1473
2021-01-01,17431.5663
2021-01-01,16961.7297
2021-01-02,15968.4364
2021-01-02,14990.3412
2021-01-02,14695.3462
2021-01-02,14137.2283
2021-01-02,13956.2043
2021-01-02,14173.5021
2021-01-02,15105.4267
2021-01-02,15412.6054
2021-01-02,14948.7988
2021-01-02,13985.6837
2021-01-02,14060.4693
2021-01-02,14297.6097
2021-01-02,14381.9789
2021-01-02,14178.2743
2021-01-02,14194.5961
2021-01-02,14208.7601
2021-01-02,14927.1162
2021-01-02,16819.3111
2021-01-02,18781.3731
2021-01-02,19366.6813
2021-01-02,19419.2907
2021-01-02,19271.6385
2021-01-02,19188.8772
2021-01-02,18531.0755
2021-01-03,17576.6898
2021-01-03,16566.0614
2021-01-03,16094.4307
2021-01-03,15794.7412
2021-01-03,15914.2841
2021-01-03,15985.5037
2021-01-03,16286.2762
2021-01-03,15999.5238
2021-01-03,14923.6379
2021-01-03,13777.0252
2021-01-03,13571.4075
2021-01-03,13749.4789
2021-01-03,13839.1406
2021-01-03,13795.4172
2021-01-03,13945.9056
2021-01-03,14103.6755
2021-01-03,15183.3406
2021-01-03,17411.7235
2021-01-03,18690.1513
2021-01-03,18979.1713
2021-01-03,18825.4409
2021-01-03,18760.2442
2021-01-03,18414.4047
2021-01-03,17909.5629
2021-01-04,16830.6383
2021-01-04,16253.0865
2021-01-04,15805.4258
2021-01-04,15684.2153
2021-01-04,16042.8296
2021-01-04,16576.4568
2021-01-04,18181.5066
2021-01-04,18912.648
2021-01-04,18922.4107
2021-01-04,18358.9477
2021-01-04,18501.7811
2021-01-04,18531.3037
2021-01-04,18774.4007
2021-01-04,18924.1205
2021-01-04,18880.6
2021-01-04,18879.6002
2021-01-04,19108.044
2021-01-04,19763.0163
2021-01-04,20685.2545
2021-01-04,20440.6098
2021-01-04,20490.0637
2021-01-04,20526.0467
2021-01-04,20338.1371
2021-01-04,20312.6087
2021-01-05,20080.441
2021-01-05,19882.1597
2021-01-05,19205.7333
2021-01-05,19202.8186
2021-01-05,19076.2359
2021-01-05,19624.6115
2021-01-05,20235.3134
2021-01-05,20834.1133
2021-01-05,20615.4513
2021-01-05,19990.8347
2021-01-05,19753.9817
2021-01-05,19975.9287
2021-01-05,19878.5145
2021-01-05,19597.2185
2021-01-05,19363.6866
2021-01-05,19457.534
2021-01-05,19747.1132
2021-01-05,20551.5109
2021-01-05,20862.7701
2021-01-05,20919.3185
2021-01-05,20876.4152
2021-01-05,20835.8112
2021-01-05,20982.0997
2021-01-05,20370.9245
2021-01-06,19960.4666
2021-01-06,19320.6993
2021-01-06,19035.3878
2021-01-06,18772.7635
2021-01-06,18732.4389
2021-01-06,19202.1468
2021-01-06,20361.862
2021-01-06,21319.917
2021-01-06,20780.7555
2021-01-06,19767.0757
2021-01-06,19183.7583
2021-01-06,19651.9059
2021-01-06,19969.4791
2021-01-06,20278.7045
2021-01-06,20598.0701
2021-01-06,20496.6142
2021-01-06,20165.7356
2021-01-06,20945.8548
2021-01-06,21977.472
2021-01-06,22253.3099
2021-01-06,22460.8776
2021-01-06,22313.5911
2021-01-06,22074.8595
2021-01-06,21909.9622
2021-01-07,21218.6904
2021-01-07,20537.3623
2021-01-07,20132.0264
2021-01-07,20109.8992
2021-01-07,20175.7974
2021-01-07,20378.9602
2021-01-07,20531.7046
2021-01-07,20981.664
2021-01-07,21251.1901
2021-01-07,20590.1608
2021-01-07,20065.0645
2021-01-07,19748.1384
2021-01-07,19874.0422
2021-01-07,19906.1111
2021-01-07,20209.4735
2021-01-07,20430.5449
2021-01-07,19815.8776
2021-01-07,19802.3575
2021-01-07,20846.4686
2021-01-07,21481.7808
2021-01-07,22227.9908
2021-01-07,21943.1403
2021-01-07,21896.4374
2021-01-07,21060.8654
2021-01-08,19975.0083
2021-01-08,19875.3938
2021-01-08,19470.6629
2021-01-08,19078.045
2021-01-08,19060.7437
2021-01-08,19331.1257
2021-01-08,20480.3057
2021-01-08,21166.4551
2021-01-08,21088.1852
2021-01-08,19917.3347
2021-01-08,19624.5357
2021-01-08,19642.9102
2021-01-08,19586.5896
2021-01-08,19734.6932
2021-01-08,19808.0406
2021-01-08,19547.1193
2021-01-08,19518.9219
2021-01-08,20517.9504
2021-01-08,21333.2816
2021-01-08,20997.3083
2021-01-08,20844.2301
2021-01-08,20686.413
2021-01-08,20439.9778
2021-01-08,20310.9305
2021-01-09,19405.3521
2021-01-09,18677.3927
2021-01-09,18217.8566
2021-01-09,17883.2027
2021-01-09,17955.8406
2021-01-09,17964.8563
2021-01-09,18409.4565
2021-01-09,18663.0798
2021-01-09,18450.0445
2021-01-09,17304.7315
2021-01-09,17112.7608
2021-01-09,16978.1157
2021-01-09,17040.4681
2021-01-09,17101.1036
2021-01-09,17442.4007
2021-01-09,17064.6132
2021-01-09,17121.8133
2021-01-09,18231.9459
2021-01-09,19444.9842
2021-01-09,19418.8624
2021-01-09,19530.2473
2021-01-09,19898.6408
2021-01-09,19913.7396
2021-01-09,19205.5804
2021-01-10,18180.596
2021-01-10,17719.2984
2021-01-10,17610.4903
2021-01-10,17322.424
2021-01-10,16951.1917
2021-01-10,16939.885
2021-01-10,16826.7897
2021-01-10,16634.2884
2021-01-10,15678.5246
2021-01-10,14501.1919
2021-01-10,14462.4055
2021-01-10,14466.3259
2021-01-10,14344.5001
2021-01-10,14228.9646
2021-01-10,14028.3667
2021-01-10,13854.92
2021-01-10,14002.5602
2021-01-10,15822.2333
2021-01-10,17675.9955
2021-01-10,18152.1734
2021-01-10,18008.9097
2021-01-10,17818.7933
2021-01-10,18101.6474
2021-01-10,17960.5759
2021-01-11,17448.5444
2021-01-11,16575.9694
2021-01-11,15607.4669
2021-01-11,15285.3986
2021-01-11,15376.8669
2021-01-11,15956.0055
2021-01-11,17281.3666
2021-01-11,18922.6352
2021-01-11,19373.4304
2021-01-11,18915.5649
2021-01-11,18892.0273
2021-01-11,19078.7068
2021-01-11,19473.8527
2021-01-11,19617.7327
2021-01-11,19566.0765
2021-01-11,19677.2584
2021-01-11,19821.8726
2021-01-11,20344.9316
2021-01-11,21335.6776
2021-01-11,21492.7999
2021-01-11,21397.1495
2021-01-11,21137.8492
2021-01-11,21055.478
2021-01-11,20645.4202
2021-01-12,20165.4111
2021-01-12,19920.76
2021-01-12,19804.8235
2021-01-12,19569.5895
2021-01-12,19465.0788
2021-01-12,19895.7935
2021-01-12,20519.992
2021-01-12,20726.7391
2021-01-12,20436.6704
2021-01-12,20248.3418
2021-01-12,19987.02
2021-01-12,19980.4019
2021-01-12,19972.1583
2021-01-12,20281.892
2021-01-12,20073.9079
2021-01-12,19946.9617
2021-01-12,20051.3228
2021-01-12,20644.0489
2021-01-12,21348.0941
2021-01-12,21661.0667
2021-01-12,21633.0757
2021-01-12,21542.0422
2021-01-12,21430.2233
2021-01-12,21156.0914
2021-01-13,20550.2133
2021-01-13,20136.5841
2021-01-13,19895.9695
2021-01-13,19722.4684
2021-01-13,19899.4975
2021-01-13,20467.0546
2021-01-13,20653.9553
2021-01-13,21166.5784
2021-01-13,21110.6893
2021-01-13,20968.4217
2021-01-13,20497.6661
2021-01-13,20496.9812
2021-01-13,20686.4348
2021-01-13,20793.0285
2021-01-13,20678.8745
2021-01-13,20567.071
2021-01-13,20400.4381
2021-01-13,20814.8556
2021-01-13,21623.4498
2021-01-13,21658.4234
2021-01-13,21698.2265
2021-01-13,21585.3078
2021-01-13,21282.4765
2021-01-13,20424.1632
2021-01-14,19615.1533
2021-01-14,18773.7923
2021-01-14,18407.8592
2021-01-14,18362.1579
2021-01-14,18405.5492
2021-01-14,18833.6624
2021-01-14,19505.8856
2021-01-14,19668.0283
2021-01-14,19624.1091
2021-01-14,19377.0068
2021-01-14,19039.0268
2021-01-14,18957.218
2021-01-14,18963.8786
2021-01-14,19206.2428
